Favor_Team,Against_Team,year,Scored_goals,Conceded_goals
Spain,Costa Rica,2015,1,1
Canada,China,2015,1,0
New Zealand,Netherlands,2015,0,1
China,Netherlands,2015,1,0
Canada,New Zealand,2015,0,0
Netherlands,Canada,2015,1,1
China,New Zealand,2015,2,2
Brazil,South Korea,2015,2,0
Germany,Ivory Coast,2015,10,0
Germany,Norway,2015,1,1
Ivory Coast,Thailand,2015,2,3
Thailand,Germany,2015,0,4
Ivory Coast,Norway,2015,1,3
Norway,Thailand,2015,4,0
Japan,Switzerland,2015,1,0
Switzerland,Ecuador,2015,10,1
Japan,Cameroon,2015,2,1
Ecuador,Japan,2015,0,1
Switzerland,Cameroon,2015,1,2
Sweden,Nigeria,2015,3,3
United States,Australia,2015,3,1
Australia,Nigeria,2015,2,0
United States,Sweden,2015,0,0
Nigeria,United States,2015,0,1
Australia,Sweden,2015,1,1
Cameroon,Ecuador,2015,6,0
Germany,Nigeria,2019,3,0
Thailand,Chile,2019,0,2
Sweden,United States,2019,0,2
United States,Chile,2019,3,0
Canada,New Zealand,2019,2,0
United States,Thailand,2019,13,0
Chile,Sweden,2019,0,2
Cameroon,New Zealand,2019,2,1
Netherlands,Canada,2019,2,1
Sweden,Thailand,2019,5,1
Norway,Australia,2019,1,1
Netherlands,Sweden,2019,1,0
France,Brazil,2019,2,1
Spain,United States,2019,1,2
Sweden,Canada,2019,1,0
Italy,China,2019,2,0
Netherlands,Japan,2019,2,1
Norway,England,2019,0,3
France,United States,2019,1,2
Italy,Netherlands,2019,0,2
Germany,Sweden,2019,1,2
England,United States,2019,1,2
Netherlands,Cameroon,2019,3,1
England,Cameroon,2019,3,0
New Zealand,Netherlands,2019,0,1
Australia,Italy,2019,1,2
Scotland,Argentina,2019,3,3
England,Sweden,2019,1,2
France,South Korea,2019,4,0
Norway,Nigeria,2019,3,0
Nigeria,South Korea,2019,2,0
France,Norway,2019,2,1
Nigeria,France,2019,0,1
South Korea,Norway,2019,1,2
Germany,China,2019,1,0
Spain,South Africa,2019,3,1
Germany,Spain,2019,1,0
South Africa,China,2019,0,1
South Africa,Germany,2019,0,4
China,Spain,2019,0,0
Brazil,Jamaica,2019,3,0
Australia,Brazil,2019,3,2
Jamaica,Italy,2019,0,5
Jamaica,Australia,2019,1,4
Italy,Brazil,2019,0,1
England,Scotland,2019,2,1
Argentina,Japan,2019,0,0
Japan,Scotland,2019,2,1
England,Argentina,2019,1,0
Japan,England,2019,0,2
Canada,Cameroon,2019,1,0
United States,Netherlands,2019,2,0
