home,score,away,year
Germany ,1–1, Norway,2015
Ivory Coast ,2–3, Thailand,2015
Thailand ,0–4, Germany,2015
Ivory Coast ,1–3, Norway,2015
Cameroon ,6–0, Ecuador,2015
Japan ,1–0, Switzerland,2015
Switzerland ,10–1, Ecuador,2015
Japan ,2–1, Cameroon,2015
Ecuador ,0–1, Japan,2015
Switzerland ,1–2, Cameroon,2015
Sweden ,3–3, Nigeria,2015
United States ,3–1, Australia,2015
Australia ,2–0, Nigeria,2015
United States ,0–0, Sweden,2015
Nigeria ,0–1, United States,2015
Australia ,1–1, Sweden,2015
Spain ,1–1, Costa Rica,2015
Brazil ,2–0, South Korea,2015
Brazil ,1–0, Spain,2015
South Korea ,2–2, Costa Rica,2015
Costa Rica ,0–1, Brazil,2015
South Korea ,2–1, Spain,2015
France ,1–0, England,2015
Colombia ,1–1, Mexico,2015
France ,0–2, Colombia,2015
England ,2–1, Mexico,2015
Mexico ,0–5, France,2015
England ,2–1, Colombia,2015
Germany ,4–1, Sweden,2015
China ,1–0, Cameroon,2015
Brazil ,0–1, Australia,2015
France ,3–0, South Korea,2015
Canada ,1–0, Switzerland,2015
Norway ,1–2, England,2015
United States ,2–0, Colombia,2015
Japan ,2–1, Netherlands,2015
Germany ,1–1 (a.e.t.), France,2015
China ,0–1, United States,2015
Australia ,0–1, Japan,2015
England ,2–1, Canada,2015
United States ,2–0, Germany,2015
Japan ,2–1, England,2015
Germany ,0–1 (a.e.t.), England,2015
United States ,5–2, Japan,2015
France ,4–0, South Korea,2019
Norway ,3–0, Nigeria,2019
Nigeria ,2–0, South Korea,2019
France ,2–1, Norway,2019
Nigeria ,0–1, France,2019
South Korea ,1–2, Norway,2019
Germany ,1–0, China,2019
Spain ,3–1, South Africa,2019
Germany ,1–0, Spain,2019
South Africa ,0–1, China,2019
South Africa ,0–4, Germany,2019
China ,0–0, Spain,2019
Australia ,1–2, Italy,2019
Brazil ,3–0, Jamaica,2019
Australia ,3–2, Brazil,2019
Jamaica ,0–5, Italy,2019
Jamaica ,1–4, Australia,2019
Italy ,0–1, Brazil,2019
England ,2–1, Scotland,2019
Argentina ,0–0, Japan,2019
Japan ,2–1, Scotland,2019
England ,1–0, Argentina,2019
Japan ,0–2, England,2019
Scotland ,3–3, Argentina,2019
Canada ,1–0, Cameroon,2019
New Zealand ,0–1, Netherlands,2019
Netherlands ,3–1, Cameroon,2019
Canada ,2–0, New Zealand,2019
Netherlands ,2–1, Canada,2019
Cameroon ,2–1, New Zealand,2019
Chile ,0–2, Sweden,2019
United States ,13–0, Thailand,2019
Sweden ,5–1, Thailand,2019
United States ,3–0, Chile,2019
Sweden ,0–2, United States,2019
Thailand ,0–2, Chile,2019
Germany ,3–0, Nigeria,2019
Norway ,1–1 (a.e.t.), Australia,2019
England ,3–0, Cameroon,2019
France ,2–1 (a.e.t.), Brazil,2019
Spain ,1–2, United States,2019
Sweden ,1–0, Canada,2019
Italy ,2–0, China,2019
Netherlands ,2–1, Japan,2019
Norway ,0–3, England,2019
France ,1–2, United States,2019
Italy ,0–2, Netherlands,2019
Germany ,1–2, Sweden,2019
England ,1–2, United States,2019
Netherlands ,1–0 (a.e.t.), Sweden,2019
England ,1–2, Sweden,2019
United States ,2–0, Netherlands,2019
